field,type,is_ascii,sum,min,max,range,sort_order,sortiness,min_length,max_length,sum_length,avg_length,stddev_length,variance_length,cv_length,mean,sem,geometric_mean,harmonic_mean,stddev,variance,cv,nullcount,max_precision,sparsity,cardinality,uniqueness_ratio
file name,String,true,,AA12A01,CS09B24,,Unsorted,0.1692,7,7,11263,7,0,0,0,,,,,,,,0,,0,1609,1
entityType,String,true,,SAQ,SAQ,,Ascending,1,3,3,4827,3,0,0,0,,,,,,,,0,,0,1,0.0006
college,String,true,,ANZCA,CICM,,Unsorted,0.6779,4,5,7256,4.5096,0.4999,0.2499,0.1109,,,,,,,,0,,0,2,0.0012
year,Integer,,3239699,1999,2025,26,Unsorted,0.2251,,,,,,,,2013.486,0.1698,2013.4745,2013.4629,6.8128,46.4139,0.3384,0,,0,27,0.0168
sitting,String,true,,A,C,,Unsorted,0.5423,1,1,1609,1,0,0,0,,,,,,,,0,,0,3,0.0019
question,Integer,,15988,1,24,23,Unsorted,0.1418,,,,,,,,9.9366,0.1462,7.7518,5.2025,5.8637,34.3826,59.0107,0,,0,24,0.0149
content,String,false,,(a) Categorise bacteria by their gram stain appearance and shape. Give TWO examples of bacteria for each group (30% of marks). (b) Provide TWO examples of antimicrobials used against each group and outline their mechanism of action (20% of marks). (c) Outline the mechanisms of bacterial resistance with ONE example for each (50% of marks).,"a) Using a labelled diagram, describe how a mechanical (non-cassette) variable bypass vaporiser achieves the concentration set on the dial. b) Explain the mechanisms that compensate for temperature changes.",,Unsorted,0.0473,26,648,183717,114.1809,62.1995,3868.7746,0.5447,,,,,,,,0,,0,1428,0.8875
passRate,Float,,71520.5,0.0,100.0,100,Unsorted,0.0341,,,,,,,,45.1233,0.512,0,,20.3854,415.5653,45.1771,24,1,0.0149,108,0.0671
EC_extraCredit,String,false,,"A brief mention other hormonal responses in the setting of hypoglycaemia was also expected (including ACTH, cortisol, adrenaline, growth hormone and thyroid hormones).","“Uptake” of substances and drugs may be passive or active and the pharmacological example of fentanyl uptake and later release and the impact on arterial blood levels could reasonably be included. Metabolic functions can also include the production and maintenance of lung structure., The biochemical fibrinolytic and immunological capacities of the lung tissue to assist this role and the problems of right to left shunt in circumventing the system could be described as well as the significance of emboli reaching the brain or heart., The lung has some role in providing a blood reservoir. The role in acid base control overlaps with respiratory function but could be mentioned. The role as a gas reservoir which can be used for phonation and coughing could also be mentioned, as could the mechanical role of the lungs and some of the cardiovascular properties of the lung circulation.",,Unsorted,0.0102,0,1903,325544,202.3269,217.7117,47398.402,1.076,,,,,,,,426,,0.2648,1170,0.7272
EC_expectedDomains,String,false,,'Compare & contrast' means the similarities; differences & unique features need to be related to each other.,"vagus nerve anatomy, Pre and post-ganglionic physiology",,Unsorted,0.0108,0,2561,652393,405.4649,322.3381,103901.8647,0.795,,,,,,,,124,,0.0771,1474,0.9161
EC_errorsCommon,String,false,,"28% scored 8 marks or less., Common errors included: Failure to mention creatinine and /or urea or oliguria. Many answers spent lots of time discussing polyuric conditions such as nephrogenic diabetes insipidus, (and little or no time discussing any other situation) leaving the examiner to wonder if this was their idea of a common physiological abnormality., By far the commonest urinary change is a reduced volume. Many candidates listed oliguria as occurring with so-called pre-renal failure and then becoming polyuric with established renal failure., Only 2 answers noted that ability to concentrate AND dilute urine was impaired in most situations. Oliguria in renal failure does NOT mean the urine is concentrated, it simply reflects a much-reduced volume of glomerular filtrate and that small volume may hyper, hypo, or isotonic to plasma., The majority also incorrectly suggested that impaired tubular function would lead to Na and H2O loss and polyuria, whereas as GFR is progressively reduced then tubular function bears less and less relevance to urine volume. Hypovolaemia secondary to polyuria was mentioned more commonly than volume overload due to oliguria. As mentioned above, plasma osmolality rises, due to urea in the main. This does not lead to activation of humoral responses to decrease the osmolality because urea is freely soluble across cell membranes, i.e. an ineffective osmole. 10, Many candidates wasted valuable time describing normal tubular function, or determinants of GFR. It was also not asked to describe causes of renal impairment, or to give a description of the renin-angiotensin-aldosterone axis. Only a handful realised that Creatinine levels reflect GFR, but that creatinine clearance and eGFR reflect changes better than blood levels alone., A large number of answers dwelt on glucose handling in the PCT, many saying that glycosuria at normal BGLs, and even hypoglycaemia, occur in renal dysfunction, because of alteration in Tmax for glucose. The opposite is closer to the truth- reduced filtration of glucose often leads to there being no glycosuria in the presence of significant hyperglycaemia., Too many candidates used vague statements like “alterations in electrolyte balance”, “build up of metabolic wastes” and “impaired acid-base balance”. Creatinine and creatine are not the same thing; Urea does not cause gout; and insulin is not used to measure GFR. The kidney produces ammonia to excrete acid, it is not the site of ammonia elimination, levels of which rise in hepatic failure not renal failure.","“Outline” does not mean list and there needs to be a connection between what is measured and how that changes with liver dysfunction., A simple list of tests was not enough to answer the question and demonstrate knowledge., Normal plasma concentrations of albumin and bilirubin were infrequently mentioned and enzyme abbreviations without explanations were common., Information not relevant to the question includes: Excessive detail on the coagulation pathway, Hepatic blood flow measurement, Clinical signs of liver failure, Functions of the liver and albumin, Explaining how to perform a laboratory test, Ultrasound investigations",,Unsorted,0.8662,0,2629,508741,316.1846,281.8523,79440.6972,0.8914,,,,,,,,248,,0.1541,1354,0.8415
learningOutcomes,String,true,,BT_AM 1.1,"BT_SQ 1.6, BT_PO 1.44a",,Unsorted,0.1429,0,34,257,0.1597,2.0659,4.2681,12.9342,,,,,,,,1594,,0.9907,16,0.0099
lo,String,true,,"[[A2c]], [[R2e]], [[D1, 2b,c]]","[[Section II]], [[2a]], [[b]]",,Unsorted,0.1006,0,79,3046,1.8931,6.8147,46.4405,3.5998,,,,,,,,1439,,0.8943,165,0.1025
resources,String,false,,"A concise description of all this can be found in Miller 8th Edition, Chapter 56.","Understanding Anesthesia Equipment, Dorsch and Dorsch, Chapter 10, 5th Ed.",,Unsorted,-0.0235,0,314,13168,8.184,29.0614,844.5658,3.551,,,,,,,,1438,,0.8937,172,0.1069
exam,String,true,,PEX,SEX,,Unsorted,0.9988,3,3,4827,3,0,0,0,,,,,,,,0,,0,2,0.0012
file links,String,true,,"[[A2c|A2c]], [[R2e|R2e]], [[D1, 2b,c|D1, 2b,c]]","[[Section II|Section II]], [[2a|2a]], [[b|b]]",,Unsorted,0.1006,0,135,4952,3.0777,11.208,125.6185,3.6417,,,,,,,,1439,,0.8943,165,0.1025
file path,String,true,,SAQ/ANZCA SAQ/A.P.-9.A.SAQ/AP99A01.md,SAQ/CICM SAQ/C.P.25.A.SAQ/CP25A19.md,,Unsorted,0.1667,36,37,58728,36.4997,0.5,0.25,0.0137,,,,,,,,0,,0,1609,1
