file name,entityType,college,year,sitting,question,content,passRate,EC_extraCredit,EC_expectedDomains,EC_errorsCommon,learningOutcomes,lo,resources,exam,file links,file path
AP01A10,SAQ,ANZCA,2001,A,10,Outline GABA’s role as a neurotransmitter and indicate how its actions may be modified by pharmacological agents.,53,,"The major points expected in the answer were mention of:• the distribution and function of GABA as a major inhibitory neurotransmitter• the distribution and function of GABAA, GABAB (and GABA non A, non B) receptors• GABAA is predominantly a postsynaptic ligand gated chloride ion channel. Binding of the GABAA receptor increases chloride flux and hyperpolarises the cell. Drugs that influence GABAA receptor function include the benzodiazepines, barbiturates, propofol, etomidate, steroidal anaesthetics, ethanol, and possibly volatile anaesthetic agents.• GABAB is a G-protein coupled receptor influencing calcium ion and potassium ion fluxes Baclofen is the best known agonist at GABAB",,,,,PEX,,SAQ/ANZCA SAQ/A.P.01.A.SAQ/AP01A10.md
AP03A07,SAQ,ANZCA,2003,A,7,"Classify diuretics, briefly explaining their mode of action.",88,Better marks were achieved by candidates that not only mentioned their cellular mechanisms of action but also the net effect of this on electrolyte shifts and therefore how diuresis is actually achieved.,Almost all candidates successfully classified the main groups of diuretics according to their mode of action.,,,,,PEX,,SAQ/ANZCA SAQ/A.P.03.A.SAQ/AP03A07.md
AP03A11,SAQ,ANZCA,2003,A,11,Define the “thermoneutral zone”. Briefly explain how the body regulates temperature when the ambient temperature exceeds thermoneutral zone.,38,Information that was rewarded with additional marks included: • A well labelled graph. • Relationship of TNZ to body surface area and age. • Relative importance (in percentage terms) of the modalities of heat loss as the ambient temperature climbs. • Rates of sweating that can be achieved. • The effect of humidity on sweating.,"A satisfactory answer would have included the following points: • Definition of the thermoneutral zone (TNZ) including some reference to oxygen consumption at rest being minimal. Also acceptable was the recognition that body temperature is able to be maintained by changes in skin blood flow alone. Normal values for adults (22 – 28°C) and neonates (32 – 34°C) were required. • A brief mention of the neural mechanisms involved. • Mention of the means for losing heat; ie, conduction, convection and radiation with emphasis on the paramount importance of sweating in the absence of a thermal gradient. • A brief mention on the role of behavioural responses (seeking a cooler environment, removing clothing and increasing fluid intake).",,,,,PEX,,SAQ/ANZCA SAQ/A.P.03.A.SAQ/AP03A11.md
AP03A16,SAQ,ANZCA,2003,A,16,"Describe the functions of the loop of Henle, including the physiological mechanisms involved.",64,"Additional marks were given for comparison of the effects of short and long loops (the physiology of desert rats was popularly mentioned!), the role of urea, and role of the loop of Henle in excretion of other ions., Because there is disagreement between texts as to whether the macula densa is part of the ascending loop of Henle - rather than the DCT - marks were given to candidates who described function of the juxta-glomerular apparatus.","Points required for a pass were: The main function of the loop of Henle is to establish a concentration gradient in the renal medulla, which allows the collecting duct to regulate water excretion. This is achieved by active ionic transport (associated with impermeability to water diffusion) from the tubular lumen in the thick ascending segment of the loop to the interstitium, coupled with water permeability of the descending part of the loop. Some quantification of osmolalities in various parts of the loop, and mention of counter current mechanisms was also required.",,,,,PEX,,SAQ/ANZCA SAQ/A.P.03.A.SAQ/AP03A16.md
AP10B01,SAQ,ANZCA,2010,B,1,Compare and contrast the pharmacokinetics of orally and intravenously administered morphine and oxycodone.,26,Additional Points which attracted higher marks: Actual numbers & content for PK parameters such as morphine’s bioavailability being 30% compared to oxycodone which is 50-87%. Demonstrate an understanding of the role of pKa in ionization & lipid solubility in comparing the 2 drugs. Be able to calculate the dose adjustments & relative conversion between the 2 drugs based on their bioavailabilities. Be able to discuss accurately volume of distribution & plasma concentration. Discuss the different pathways of metabolism & clearance,"Main Points expected for a Pass: Both Morphine & Oxycodone are full- agonist opioid analgesics used peri-operatively. They both can be administered orally or intravenously. They are roughly equipotent when administered intravenously but their oral bioavailability differs. Morphine has a high hepatic extraction, so Oxycodone is more potent when given orally. Major differences or similarities in basic pharmacokinetic (PK) parameters such as volume of distribution, clearance, protein binding, metabolism & half-life",,,,,PEX,,SAQ/ANZCA SAQ/A.P.10.B.SAQ/AP10B01.md
AP10B02,SAQ,ANZCA,2010,B,2,Describe the composition of 4% albumin and Normal Saline. Compare and contrast the pharmacology of each.,67,Extra marks were gained by giving details about the mechanism of hyperchloraemic acidosis seen with infusion of large volumes of sodium chloride.,"Candidates are reminded that where a question is asked in two parts, as with this one, it is best to answer it clearly in two parts. Most candidates were able to describe the composition of normal saline, although some added other molecules such as potassium and calcium to the mixture, and of albumin. Albumin also contains a reasonable about of sodium chloride, which was often neglected. Most answers correctly demonstrated an understanding of the distribution of normal saline between the intravascular and extra cellular compartments, and of the oncotic effects of albumin.",,,,Miller,PEX,,SAQ/ANZCA SAQ/A.P.10.B.SAQ/AP10B02.md
AP10B03,SAQ,ANZCA,2010,B,3,"Describe the mechanism of action, pharmacokinetics and major side effects of intravenously administered amiodarone.",70,"Cardiac toxicity with bradycardia, QT prolongation and this risk of Torsades that this may pose was mentioned by many candidates and gained specific credit. Additional credit was given for more detailed explanations, comments on enzyme metabolism and examples of drug interactions. Comments on dosing and infusions gained additional marks. Well organized answers such as those with an ordered list of subheadings were rewarded.","A structured approach was expected and marks were distributed to the three main areas – MOA, pharmacokinetics and adverse effects. Candidates were expected highlight the various mechanisms of action such that amiodarone can fit within most elements of the Vaughan Williams classification. A clear structure addressing the main areas relating to pharmacokinetics was helpful. It was expected candidates would appreciate the very long half life, high protein binding, significant tissue binding and large volume of distribution. Specific comments regarding the main toxicities were expected. In particular, the pulmonary toxicity (both acute and chronic variations) is important. In addition a variety of other issues should be mentioned, including thyroid changes and the well described skin and ocular changes.",,,,,PEX,,SAQ/ANZCA SAQ/A.P.10.B.SAQ/AP10B03.md
AP10B06,SAQ,ANZCA,2010,B,6,Describe the principles of how a computer-controlled infusion device targets and maintains a constant effect site concentration of propofol.,73,Describing the terms of the context sensitive half time and/or the clinically relevant context decrement time helped to indicate an understanding of the kinetics and dynamics at the end of the infusion.,"Principles relevant to this question included: - Propofol’s pharmacokinetic parameters making it suitable for this technique are rapid equilibration between the central compartment (i.e. the vessel rich group) and the effect site. Especially after the initial bolus producing only a short lag time. A 3 compartment model is described and it is as well to consider the added effect site compartment albeit small. Volumes of distribution of all those compartments have been mathematically derived plus the constants describing the kinetics of transfer using relevant studies on healthy volunteers. That time to equilibrate with the central compartment correlates with the Keo (high for propofol indicating a short time to peak effect). Clinical effects by the agent at the effect site compartment were equated with a measurable effect on the volunteers eg by using a BIS or EEG. This is a closed loop system but most cases are done on the basis of a set plasma concentration desired for a given procedure. Candidates did describe the different models available (Schneider, Marsh, and Bristol) The driver computer software incorporates derived algorithms, with information using entered patient parameters such as weight, age, sex, height of the patient. The driver calculates and delivers a loading dose, followed by a pause, then a maintenance dose and fluctuation in dosage delivery as the compartments become saturated followed by transfer of the excess into the central compartment. Ultimately the agent is made water soluble, metabolised and renally excreted. A target effect site concentration around 3 – 4 mcgm/ml, is also programmed into the machine. The machine alters the infusion rate based on its own mathematical calculations taking into consideration the redistribution amongst compartments and the central compartment, and the metabolism, clearance, and elimination which is pre-programmed into the computer algorithm. The anaesthetist may alter rates for effect or need to alter due to change of plasma concentration requirement.",,,,Miller Chapter 12,PEX,,SAQ/ANZCA SAQ/A.P.10.B.SAQ/AP10B06.md
AP10B07,SAQ,ANZCA,2010,B,7,List the physical properties of oxygen. Discuss the potential adverse effects associated with oxygen administration.,67,"Generous margins were accepted for some of the numerical physical properties of oxygen, but marks could not be awarded for significant disparities. Although not specifically asked for on this occasion, marks were awarded for descriptions of how oxygen is manufactured where this was adequately linked to the relevant physical property.","The question was similar to that asked in a previous exam, and clearly some candidates used this to their advantage. The adverse effects portion of the question was generally well done, but insufficient to compensate for the absence of an answer for the first half of the question.",,,,,PEX,,SAQ/ANZCA SAQ/A.P.10.B.SAQ/AP10B07.md
AP10B11,SAQ,ANZCA,2010,B,11,Explain the physical principles of ultrasound imaging.,57,Better answers explained the Doppler effect and the implications of the Doppler equation,Important points to include were a description and explanation of the principles from initial signal formation to tissue effects to signal reception to image formation. This should cover both standard imaging and Doppler ultrasound.,,,,,PEX,,SAQ/ANZCA SAQ/A.P.10.B.SAQ/AP10B11.md
